"kD" "kA" "SR"
0.1675 0.01 0.500000209034698
0.17 0.01 0.500000208757043
0.1725 0.01 0.500000208431956
0.175 0.01 0.500000208061652
0.1775 0.01 0.500000207648346
0.18 0.01 0.500000207194248
0.1825 0.01 0.500000206701566
0.185 0.01 0.500000206172506
0.1875 0.01 0.500000205609273
0.19 0.01 0.500000205014069
0.1925 0.01 0.500000204389096
0.195 0.01 0.500000203736554
0.1975 0.01 0.500000203058644
0.2 0.01 0.500000202357566
0.2025 0.01 0.500000201635522
0.205 0.01 0.500000200894713
0.2075 0.01 0.500000200137345
0.21 0.01 0.500000199365623
0.2125 0.01 0.500000198581758
0.215 0.01 0.500000197787961
0.2175 0.01 0.500000196986452
0.22 0.01 0.500000196179454
0.2225 0.01 0.500000195369194
0.225 0.01 0.500000194557911
0.2275 0.01 0.500000193747848
0.23 0.01 0.500000192941257
0.2325 0.01 0.500000192140403
0.235 0.01 0.500000191347561
0.2375 0.01 0.500000190565016
0.24 0.01 0.500000189795069
0.2425 0.01 0.500000189040038
0.245 0.01 0.500000188302252
0.2475 0.01 0.500000187584062
0.25 0.01 0.500000186887839
0.2525 0.01 0.500000186215973
0.255 0.01 0.500000185570878
0.2575 0.01 0.500000184954993
0.26 0.01 0.500000184370784
0.2625 0.01 0.500000183820745
0.265 0.01 0.500000183307403
0.2675 0.01 0.500000182833317
0.27 0.01 0.500000182401083
0.2725 0.01 0.500000182013335
0.275 0.01 0.500000181672749
0.2775 0.01 0.500000181382045
0.28 0.01 0.500000181143989
0.2825 0.01 0.500000180961399
0.285 0.01 0.500000180837147
0.2875 0.01 0.500000180774162
0.29 0.01 0.500000180775435
0.2925 0.01 0.50000018084402
0.295 0.01 0.500000180983043
0.2975 0.01 0.500000181195704
0.3 0.01 0.500000181485279
0.3025 0.01 0.50000018185513
0.305 0.01 0.500000182308707
0.3075 0.01 0.500000182849553
0.31 0.01 0.500000183481314
0.3125 0.01 0.500000184207739
0.315 0.01 0.500000185032691
0.3175 0.01 0.500000185960154
0.32 0.01 0.500000186994237
0.3225 0.01 0.500000188139182
0.325 0.01 0.500000189399378
0.3275 0.01 0.50000019077936
0.33 0.01 0.500000192283826
0.3325 0.01 0.500000193917642
0.335 0.01 0.500000195685854
0.3375 0.01 0.500000197593699
0.34 0.01 0.500000199646615
0.3425 0.01 0.500000201850254
0.345 0.01 0.500000204210491
0.3475 0.01 0.500000206733445
0.35 0.01 0.500000209425485
0.3525 0.01 0.50000021229325
0.355 0.01 0.500000215343663
0.3575 0.01 0.50000021858395
0.36 0.01 0.500000222021653
0.3625 0.01 0.500000225664654
0.365 0.01 0.500000229521193
0.3675 0.01 0.50000023359989
0.37 0.01 0.500000237909766
0.3725 0.01 0.500000242460267
0.375 0.01 0.500000247261293
0.3775 0.01 0.500000252323222
0.38 0.01 0.500000257656938
0.3825 0.01 0.500000263273864
0.385 0.01 0.500000269185995
0.3875 0.01 0.50000027540593
0.39 0.01 0.500000281946908
0.3925 0.01 0.500000288822854
0.395 0.01 0.500000296048413
0.3975 0.01 0.500000303638997
0.4 0.01 0.500000311610836
0.4025 0.01 0.500000319981025
0.405 0.01 0.500000328767576
0.4075 0.01 0.500000337989483
0.41 0.01 0.500000347666773
0.4125 0.01 0.500000357820583
0.415 0.01 0.500000368473222
0.4175 0.01 0.500000379648246
0.42 0.01 0.500000391370545
0.4225 0.01 0.50000040366642
0.425 0.01 0.500000416563682
0.4275 0.01 0.500000430091745
0.43 0.01 0.500000444281732
0.4325 0.01 0.500000459166588
0.435 0.01 0.500000474781204
0.4375 0.01 0.500000491162539
0.44 0.01 0.500000508349765
0.4425 0.01 0.500000526384411
0.445 0.01 0.500000545310527
0.4475 0.01 0.500000565174852
0.45 0.01 0.500000586026999
0.4525 0.01 0.500000607919656
0.455 0.01 0.500000630908793
0.4575 0.01 0.500000655053896
0.46 0.01 0.500000680418213
0.4625 0.01 0.500000707069019
0.465 0.01 0.500000735077899
0.4675 0.01 0.500000764521062
0.47 0.01 0.500000795479669
0.4725 0.01 0.500000828040197
0.475 0.01 0.500000862294819
0.4775 0.01 0.500000898341828
0.48 0.01 0.50000093628609
0.4825 0.01 0.500000976239526
0.485 0.01 0.500001018321647
0.4875 0.01 0.500001062660126
0.49 0.01 0.500001109391411
0.4925 0.01 0.500001158661404
0.495 0.01 0.50000121062618
0.4975 0.01 0.500001265452784
0.5 0.01 0.50000132332008
0.0025 0.0125 0.500000008136062
0.005 0.0125 0.500000016069427
0.0075 0.0125 0.500000023802634
0.01 0.0125 0.500000031338226
0.0125 0.0125 0.500000038678754
0.015 0.0125 0.500000045826773
0.0175 0.0125 0.500000052784845
0.02 0.0125 0.500000059555538
0.0225 0.0125 0.500000066141425
0.025 0.0125 0.500000072545085
0.0275 0.0125 0.500000078769102
0.03 0.0125 0.500000084816069
0.0325 0.0125 0.500000090688579
0.035 0.0125 0.500000096389236
0.0375 0.0125 0.500000101920647
0.04 0.0125 0.500000107285427
0.0425 0.0125 0.500000112486194
